"A","B","C","D","E","|","aout","bout","cout","dout","eout","fout","gout","hout","iout","jout"
0,0,0,0,0,"|",1,0,1,1,1,1,0,0,0,0
0,0,0,0,1,"|",1,0,1,1,0,0,0,0,0,0
0,0,0,1,0,"|",1,1,0,1,0,1,0,1,0,0
0,0,0,1,1,"|",1,1,0,1,0,1,1,0,1,0
0,0,1,0,0,"|",1,1,0,1,0,1,0,0,0,0
0,0,1,0,1,"|",1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,"|",1,0,1,0,1,1,0,1,0,0
0,0,1,1,1,"|",1,1,0,1,1,0,1,0,0,0
0,1,0,0,0,"|",1,0,1,0,1,0,1,0,0,0
0,1,0,0,1,"|",1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,"|",1,0,1,1,0,1,1,0,1,1
0,1,0,1,1,"|",1,1,0,1,0,1,1,0,0,0
0,1,1,0,0,"|",1,0,1,1,0,1,0,1,0,0
0,1,1,0,1,"|",1,1,0,1,1,0,0,0,0,0
0,1,1,1,0,"|",1,1,0,1,0,0,0,0,0,0
0,1,1,1,1,"|",1,1,0,1,1,0,1,1,0,0
1,0,0,0,0,"|",1,0,1,1,0,1,1,0,1,0
1,0,0,0,1,"|",1,1,0,1,1,0,1,0,1,1
1,0,0,1,0,"|",1,0,1,1,0,1,0,0,0,0
1,0,0,1,1,"|",1,0,1,0,1,0,0,0,0,0
1,0,1,0,0,"|",1,1,0,0,0,0,0,0,0,0
1,0,1,0,1,"|",1,0,1,0,1,1,0,0,0,0
1,0,1,1,0,"|",1,0,1,0,1,0,1,1,0,0
1,0,1,1,1,"|",1,0,1,1,0,1,1,0,0,0
1,1,0,0,0,"|",1,1,0,1,0,1,0,1,1,0
1,1,0,0,1,"|",1,1,0,1,0,1,1,0,1,1
1,1,0,1,0,"|",1,1,0,1,1,0,1,0,1,0
1,1,0,1,1,"|",1,1,0,1,1,0,1,0,0,0
1,1,1,0,0,"|",1,1,0,1,0,1,0,1,0,0
1,1,1,0,1,"|",1,1,1,1,1,1,1,0,0,0
1,1,1,1,0,"|",1,1,0,1,1,0,1,0,0,0
1,1,1,1,1,"|",1,1,1,1,1,1,1,1,0,0
